col_a,col_b,col_c,col_d
GR-0012687,PO-0015601,2026-05-03,100
GR-0012688,PO-0015602,2024-08-28,500
GR-0012689,PO-0015603,2025-11-02,500
GR-0012690,PO-0015604,2024-07-31,500
GR-0012691,PO-0015605,2024-12-11,100
GR-0012692,PO-0015606,2024-04-04,50
GR-0012693,PO-0015607,2025-03-31,1000
GR-0012694,PO-0015608,2025-08-13,500
GR-0012695,PO-0015609,2025-09-23,50
GR-0012696,PO-0015610,2024-11-05,161
GR-0012697,PO-0015611,2026-01-16,200
GR-0012698,PO-0015612,2025-07-14,500
GR-0012699,PO-0015613,2024-03-21,200
GR-0012700,PO-0015615,2025-12-27,1000
GR-0012701,PO-0015616,2025-02-26,100
GR-0012702,PO-0015617,2025-08-09,1000
GR-0012703,PO-0015619,2025-03-04,500
GR-0012704,PO-0015620,2025-12-21,897
GR-0012705,PO-0015621,2024-03-27,200
GR-0012706,PO-0015623,2024-08-02,200
GR-0012707,PO-0015624,2026-05-27,500
GR-0012708,PO-0015625,2025-02-18,50
GR-0012709,PO-0015627,2024-12-01,100
GR-0012710,PO-0015628,2026-05-03,100
GR-0012711,PO-0015630,2026-05-08,844
GR-0012712,PO-0015631,2024-04-03,50
GR-0012713,PO-0015633,2024-05-18,50
GR-0012714,PO-0015634,2026-02-05,50
GR-0012715,PO-0015638,2024-02-29,500
GR-0012716,PO-0015639,2026-02-02,100
GR-0012717,PO-0015640,2024-05-03,100
GR-0012718,PO-0015641,2025-03-20,100
GR-0012719,PO-0015642,2025-07-15,200
GR-0012720,PO-0015643,2025-07-22,412
GR-0012721,PO-0015644,2024-08-17,43
GR-0012722,PO-0015645,2025-08-29,500
GR-0012723,PO-0015646,2026-01-26,1000
GR-0012724,PO-0015647,2024-03-03,200
GR-0012725,PO-0015648,2025-03-11,83
GR-0012726,PO-0015649,2025-05-26,500
GR-0012727,PO-0015650,2025-12-14,50
GR-0012728,PO-0015651,2024-12-04,100
GR-0012729,PO-0015652,2024-04-15,500
GR-0012730,PO-0015653,2025-02-01,200
GR-0012731,PO-0015654,2025-02-08,1000
GR-0012732,PO-0015655,2024-05-30,100
GR-0012733,PO-0015659,2026-05-04,50
GR-0012734,PO-0015660,2024-11-12,500
GR-0012735,PO-0015661,2026-03-01,500
GR-0012736,PO-0015662,2025-11-29,200
GR-0012737,PO-0015663,2026-03-09,100
GR-0012738,PO-0015664,2024-05-24,50
GR-0012739,PO-0015666,2024-11-25,50
GR-0012740,PO-0015667,2024-09-22,50
GR-0012741,PO-0015668,2025-09-26,500
GR-0012742,PO-0015672,2024-11-07,50
GR-0012743,PO-0015673,2025-01-22,1000
GR-0012744,PO-0015675,2025-01-24,1000
GR-0012745,PO-0015677,2024-11-20,1000
GR-0012746,PO-0015678,2025-12-18,50
GR-0012747,PO-0015680,2024-06-20,100
GR-0012748,PO-0015681,2025-03-11,50
GR-0012749,PO-0015682,2024-05-05,50
GR-0012750,PO-0015683,2025-04-25,50
GR-0012751,PO-0015684,2025-12-29,500
GR-0012752,PO-0015685,2026-01-06,44
GR-0012753,PO-0015686,2024-05-28,100
GR-0012754,PO-0015687,2024-09-09,50
GR-0012755,PO-0015688,2024-02-28,500
GR-0012756,PO-0015689,2024-04-12,500
GR-0012757,PO-0015691,2026-05-07,200
GR-0012758,PO-0015692,2024-05-02,50
GR-0012759,PO-0015693,2025-04-03,500
GR-0012760,PO-0015694,2025-07-05,1000
GR-0012761,PO-0015695,2024-07-03,50
GR-0012762,PO-0015696,2025-09-25,500
GR-0012763,PO-0015697,2026-05-11,50
GR-0012764,PO-0015698,2024-11-24,100
GR-0012765,PO-0015699,2024-10-04,1000
GR-0012766,PO-0015700,2024-06-28,100
GR-0012767,PO-0015701,2025-07-08,1000
GR-0012768,PO-0015702,2024-07-27,500
GR-0012769,PO-0015703,2025-01-21,200
GR-0012770,PO-0015704,2024-07-08,500
GR-0012771,PO-0015705,2024-03-19,200
GR-0012772,PO-0015706,2024-10-20,200
GR-0012773,PO-0015708,2025-09-04,200
GR-0012774,PO-0015709,2025-01-22,1000
GR-0012775,PO-0015710,2025-04-04,200
GR-0012776,PO-0015711,2026-02-07,500
GR-0012777,PO-0015712,2024-05-16,200
GR-0012778,PO-0015714,2026-04-08,200
GR-0012779,PO-0015715,2024-05-07,1000
GR-0012780,PO-0015716,2025-04-08,500
GR-0012781,PO-0015717,2025-04-21,200
GR-0012782,PO-0015718,2024-03-02,200
GR-0012783,PO-0015720,2024-10-18,500
GR-0012784,PO-0015721,2025-04-17,200
GR-0012785,PO-0015723,2024-12-22,200
GR-0012786,PO-0015724,2026-03-31,200
GR-0012787,PO-0015725,2026-02-27,500
GR-0012788,PO-0015726,2026-05-06,200
GR-0012789,PO-0015727,2025-12-10,200
GR-0012790,PO-0015728,2025-09-24,100
GR-0012791,PO-0015729,2024-06-19,50
GR-0012792,PO-0015730,2025-05-15,500
GR-0012793,PO-0015731,2025-04-15,42
GR-0012794,PO-0015732,2025-12-07,500
GR-0012795,PO-0015733,2026-02-24,100
GR-0012796,PO-0015734,2024-02-24,50
GR-0012797,PO-0015735,2025-03-06,1000
GR-0012798,PO-0015736,2024-12-23,200
GR-0012799,PO-0015737,2024-10-20,50
GR-0012800,PO-0015738,2025-05-28,200
GR-0012801,PO-0015739,2024-07-29,100
GR-0012802,PO-0015740,2025-03-13,500
GR-0012803,PO-0015741,2026-05-30,43
GR-0012804,PO-0015742,2024-09-24,500
GR-0012805,PO-0015743,2025-09-01,500
GR-0012806,PO-0015744,2025-08-13,50
GR-0012807,PO-0015745,2026-02-13,50
GR-0012808,PO-0015746,2024-08-02,38
GR-0012809,PO-0015747,2025-11-29,50
GR-0012810,PO-0015748,2026-02-02,100
GR-0012811,PO-0015749,2024-04-02,200
GR-0012812,PO-0015750,2025-10-31,100
GR-0012813,PO-0015751,2024-10-07,1000
GR-0012814,PO-0015752,2024-06-20,100
GR-0012815,PO-0015753,2025-04-23,100
GR-0012816,PO-0015754,2025-11-06,50
GR-0012817,PO-0015755,2025-05-01,500
GR-0012818,PO-0015756,2024-03-20,41
GR-0012819,PO-0015757,2025-12-21,100
GR-0012820,PO-0015758,2025-06-22,100
GR-0012821,PO-0015759,2025-11-06,500
GR-0012822,PO-0015761,2025-09-23,200
GR-0012823,PO-0015762,2026-04-15,500
GR-0012824,PO-0015763,2024-11-08,1000
GR-0012825,PO-0015765,2024-09-09,50
GR-0012826,PO-0015767,2025-11-11,50
GR-0012827,PO-0015768,2024-04-12,500
GR-0012828,PO-0015769,2025-12-31,50
GR-0012829,PO-0015770,2024-10-25,50
GR-0012830,PO-0015771,2025-07-21,200
GR-0012831,PO-0015772,2024-10-01,100
GR-0012832,PO-0015773,2024-10-26,500
GR-0012833,PO-0015774,2024-02-03,200
GR-0012834,PO-0015776,2026-03-22,1000
GR-0012835,PO-0015778,2024-06-13,200
GR-0012836,PO-0015779,2025-01-30,500
GR-0012837,PO-0015780,2024-09-07,50
GR-0012838,PO-0015781,2024-02-08,500
GR-0012839,PO-0015782,2026-03-16,1000
GR-0012840,PO-0015783,2025-03-05,200
GR-0012841,PO-0015784,2026-04-08,367
GR-0012842,PO-0015787,2026-02-26,50
GR-0012843,PO-0015788,2024-07-07,500
GR-0012844,PO-0015789,2025-12-20,414
GR-0012845,PO-0015790,2024-07-20,500
GR-0012846,PO-0015791,2024-12-02,50
GR-0012847,PO-0015792,2024-11-22,50
GR-0012848,PO-0015793,2025-10-14,50
GR-0012849,PO-0015794,2026-01-05,38
GR-0012850,PO-0015795,2024-03-12,100
GR-0012851,PO-0015796,2026-01-08,1000
GR-0012852,PO-0015797,2026-02-04,1000
GR-0012853,PO-0015800,2026-04-28,50
GR-0012854,PO-0015801,2025-05-20,50
GR-0012855,PO-0015803,2024-07-05,1000
GR-0012856,PO-0015806,2026-05-12,50
GR-0012857,PO-0015808,2024-06-30,500
GR-0012858,PO-0015809,2026-03-10,100
GR-0012859,PO-0015811,2025-08-24,1000
GR-0012860,PO-0015813,2024-09-14,500
GR-0012861,PO-0015815,2025-10-23,1000
GR-0012862,PO-0015816,2026-02-15,1000
GR-0012863,PO-0015817,2025-11-26,200
GR-0012864,PO-0015818,2024-07-21,500
GR-0012865,PO-0015819,2025-08-06,500
GR-0012866,PO-0015821,2024-11-20,1000
GR-0012867,PO-0015822,2024-06-04,500
GR-0012868,PO-0015823,2025-01-08,100
GR-0012869,PO-0015824,2026-01-13,500
GR-0012870,PO-0015825,2026-04-15,93
GR-0012871,PO-0015828,2026-02-14,1000
GR-0012872,PO-0015829,2025-11-06,200
GR-0012873,PO-0015830,2025-01-22,100
GR-0012874,PO-0015831,2026-03-08,50
GR-0012875,PO-0015832,2025-08-21,100
GR-0012876,PO-0015833,2024-07-21,50
GR-0012877,PO-0015835,2024-06-26,100
GR-0012878,PO-0015836,2024-02-14,1000
GR-0012879,PO-0015837,2025-05-26,1000
GR-0012880,PO-0015838,2024-05-14,50
GR-0012881,PO-0015839,2025-09-12,100
GR-0012882,PO-0015841,2024-12-10,39
GR-0012883,PO-0015842,2024-01-28,1000
GR-0012884,PO-0015843,2024-11-04,200
GR-0012885,PO-0015845,2025-01-07,50
GR-0012886,PO-0015846,2025-12-20,500
GR-0012887,PO-0015847,2025-10-08,50
GR-0012888,PO-0015848,2025-06-20,100
GR-0012889,PO-0015849,2026-03-02,200
GR-0012890,PO-0015850,2024-12-16,50
GR-0012891,PO-0015851,2025-06-29,100
GR-0012892,PO-0015852,2026-03-04,200
GR-0012893,PO-0015853,2025-02-08,181
GR-0012894,PO-0015854,2025-09-10,500
GR-0012895,PO-0015855,2025-02-08,100
GR-0012896,PO-0015856,2025-12-25,200
GR-0012897,PO-0015857,2025-10-28,1000
GR-0012898,PO-0015858,2025-03-12,50
GR-0012899,PO-0015859,2024-09-15,1000
GR-0012900,PO-0015860,2025-12-23,1000
GR-0012901,PO-0015861,2026-02-12,500
GR-0012902,PO-0015862,2024-09-07,100
GR-0012903,PO-0015863,2025-11-28,1000
GR-0012904,PO-0015864,2025-07-15,500
GR-0012905,PO-0015865,2025-09-10,200
GR-0012906,PO-0015866,2026-03-17,200
GR-0012907,PO-0015868,2026-01-26,200
GR-0012908,PO-0015869,2025-11-23,200
GR-0012909,PO-0015871,2025-09-06,1000
GR-0012910,PO-0015872,2026-03-20,100
GR-0012911,PO-0015874,2025-05-05,176
GR-0012912,PO-0015875,2024-07-19,500
GR-0012913,PO-0015876,2026-06-01,50
GR-0012914,PO-0015877,2024-07-17,50
GR-0012915,PO-0015878,2026-01-03,50
GR-0012916,PO-0015879,2024-11-22,500
GR-0012917,PO-0015880,2025-12-23,200
GR-0012918,PO-0015882,2024-07-06,1000
GR-0012919,PO-0015884,2024-07-02,1000
GR-0012920,PO-0015885,2024-08-08,163
GR-0012921,PO-0015886,2025-06-08,500
GR-0012922,PO-0015887,2024-04-16,500
GR-0012923,PO-0015888,2025-12-27,200
GR-0012924,PO-0015889,2025-03-21,50
GR-0012925,PO-0015890,2025-10-29,200
GR-0012926,PO-0015891,2025-04-02,500
GR-0012927,PO-0015893,2026-01-27,200
GR-0012928,PO-0015894,2024-03-23,100
GR-0012929,PO-0015895,2025-07-17,500
GR-0012930,PO-0015897,2024-07-08,1000
GR-0012931,PO-0015898,2025-01-12,1000
GR-0012932,PO-0015900,2025-06-28,1000
GR-0012933,PO-0015901,2025-07-18,500
GR-0012934,PO-0015902,2025-02-10,1000
GR-0012935,PO-0015903,2024-05-07,500
GR-0012936,PO-0015904,2025-10-21,200
GR-0012937,PO-0015905,2024-08-10,785
GR-0012938,PO-0015906,2025-02-05,1000
GR-0012939,PO-0015907,2026-05-21,200
GR-0012940,PO-0015908,2024-12-02,100
GR-0012941,PO-0015909,2024-08-03,1000
GR-0012942,PO-0015910,2024-09-06,1000
GR-0012943,PO-0015911,2025-11-11,100
GR-0012944,PO-0015912,2024-04-26,100
GR-0012945,PO-0015913,2025-05-20,1000
GR-0012946,PO-0015914,2025-09-17,100
GR-0012947,PO-0015917,2025-07-06,1000
GR-0012948,PO-0015918,2024-06-07,100
GR-0012949,PO-0015919,2026-01-25,100
GR-0012950,PO-0015920,2024-05-08,500
GR-0012951,PO-0015921,2025-05-28,1000
GR-0012952,PO-0015922,2025-05-23,100
GR-0012953,PO-0015923,2025-10-08,100
GR-0012954,PO-0015924,2024-11-13,100
GR-0012955,PO-0015925,2025-04-25,79
GR-0012956,PO-0015926,2024-10-17,1000
GR-0012957,PO-0015927,2025-09-23,200
GR-0012958,PO-0015928,2026-04-19,500
GR-0012959,PO-0015929,2025-08-07,200
GR-0012960,PO-0015930,2025-04-10,50
GR-0012961,PO-0015933,2026-02-21,500
GR-0012962,PO-0015934,2024-06-15,100
GR-0012963,PO-0015935,2024-07-09,100
GR-0012964,PO-0015936,2024-04-21,100
GR-0012965,PO-0015937,2024-09-12,100
GR-0012966,PO-0015938,2026-02-12,100
GR-0012967,PO-0015939,2024-07-21,500
GR-0012968,PO-0015941,2024-07-17,500
GR-0012969,PO-0015942,2025-11-25,1000
GR-0012970,PO-0015943,2025-06-14,1000
GR-0012971,PO-0015944,2024-10-29,1000
GR-0012972,PO-0015945,2026-03-11,50
GR-0012973,PO-0015946,2025-01-07,1000
GR-0012974,PO-0015949,2024-05-22,100
GR-0012975,PO-0015950,2025-06-09,1000
GR-0012976,PO-0015951,2024-04-30,100
GR-0012977,PO-0015952,2024-02-04,200
GR-0012978,PO-0015953,2025-07-20,100
GR-0012979,PO-0015954,2026-03-27,1000
GR-0012980,PO-0015955,2025-08-08,100
GR-0012981,PO-0015956,2025-04-03,100
GR-0012982,PO-0015957,2025-03-07,475
GR-0012983,PO-0015958,2024-12-07,100
GR-0012984,PO-0015960,2026-03-01,200
GR-0012985,PO-0015961,2025-11-01,500
GR-0012986,PO-0015964,2025-08-08,1000
GR-0012987,PO-0015965,2024-12-10,184
GR-0012988,PO-0015966,2026-04-09,500
GR-0012989,PO-0015968,2026-03-12,500
GR-0012990,PO-0015970,2025-10-02,100
GR-0012991,PO-0015972,2026-02-02,200
GR-0012992,PO-0015974,2024-11-04,500
GR-0012993,PO-0015975,2025-11-21,500
GR-0012994,PO-0015976,2025-07-21,100
GR-0012995,PO-0015977,2025-11-19,500
GR-0012996,PO-0015978,2024-08-20,1000
GR-0012997,PO-0015979,2025-11-21,100
GR-0012998,PO-0015980,2024-03-16,500
GR-0012999,PO-0015981,2025-10-23,100
GR-0013000,PO-0015982,2024-10-12,50
GR-0013001,PO-0015983,2026-03-15,500
GR-0013002,PO-0015984,2024-10-26,50
GR-0013003,PO-0015985,2024-04-16,457
GR-0013004,PO-0015987,2026-05-16,50
GR-0013005,PO-0015988,2026-01-30,500
GR-0013006,PO-0015989,2024-02-17,200
GR-0013007,PO-0015990,2025-05-20,200
GR-0013008,PO-0015991,2024-04-22,50
GR-0013009,PO-0015992,2024-12-17,50
GR-0013010,PO-0015993,2024-07-31,200
GR-0013011,PO-0015994,2025-12-16,200
GR-0013012,PO-0015995,2025-12-03,500
GR-0013013,PO-0015996,2026-05-19,100
GR-0013014,PO-0015997,2024-06-11,100
GR-0013015,PO-0015998,2025-08-06,100
GR-0013016,PO-0015999,2025-04-30,1000
GR-0013017,PO-0016000,2025-02-08,500
GR-0013018,PO-0016001,2026-02-21,200
GR-0013019,PO-0016002,2024-10-28,38
GR-0013020,PO-0016005,2025-01-01,100
GR-0013021,PO-0016006,2026-03-31,50
GR-0013022,PO-0016007,2025-12-01,50
GR-0013023,PO-0016009,2024-06-12,820
GR-0013024,PO-0016010,2025-08-18,100
GR-0013025,PO-0016011,2024-09-30,100
GR-0013026,PO-0016012,2024-08-21,200
GR-0013027,PO-0016013,2024-05-26,1000
GR-0013028,PO-0016014,2025-07-19,100
GR-0013029,PO-0016015,2024-10-04,50
GR-0013030,PO-0016016,2025-06-26,50
GR-0013031,PO-0016018,2025-01-01,200
GR-0013032,PO-0016019,2024-10-10,86
GR-0013033,PO-0016020,2025-10-03,500
GR-0013034,PO-0016021,2025-12-06,100
GR-0013035,PO-0016022,2026-03-18,500
GR-0013036,PO-0016023,2024-12-15,500
GR-0013037,PO-0016025,2025-11-24,1000
GR-0013038,PO-0016026,2025-04-10,50
GR-0013039,PO-0016029,2024-10-17,50
GR-0013040,PO-0016030,2026-01-22,158
GR-0013041,PO-0016031,2025-10-29,100
GR-0013042,PO-0016032,2025-07-16,1000
GR-0013043,PO-0016033,2025-08-23,200
GR-0013044,PO-0016034,2026-04-08,50
GR-0013045,PO-0016035,2024-02-19,200
GR-0013046,PO-0016037,2025-12-21,50
GR-0013047,PO-0016038,2024-04-27,200
GR-0013048,PO-0016039,2025-09-09,100
GR-0013049,PO-0016041,2024-07-27,200
GR-0013050,PO-0016042,2024-12-31,200
GR-0013051,PO-0016045,2026-02-09,100
GR-0013052,PO-0016046,2025-03-05,1000
GR-0013053,PO-0016047,2025-03-06,200
GR-0013054,PO-0016048,2024-08-05,1000
GR-0013055,PO-0016049,2024-12-14,50
GR-0013056,PO-0016050,2024-02-24,43
GR-0013057,PO-0016051,2025-08-08,50
GR-0013058,PO-0016053,2025-02-20,100
GR-0013059,PO-0016054,2024-12-29,200
GR-0013060,PO-0016055,2024-12-31,50
GR-0013061,PO-0016057,2026-02-02,500
GR-0013062,PO-0016058,2026-02-25,1000
GR-0013063,PO-0016059,2024-12-21,500
GR-0013064,PO-0016060,2024-09-03,50
GR-0013065,PO-0016061,2025-10-09,1000
GR-0013066,PO-0016062,2025-02-05,100
GR-0013067,PO-0016064,2025-09-13,500
GR-0013068,PO-0016065,2024-06-16,100
GR-0013069,PO-0016066,2024-10-12,987
GR-0013070,PO-0016069,2024-04-20,200
GR-0013071,PO-0016070,2025-03-17,42
GR-0013072,PO-0016071,2025-03-15,50
GR-0013073,PO-0016074,2025-12-15,500
GR-0013074,PO-0016076,2024-03-08,500
GR-0013075,PO-0016077,2025-11-13,500
GR-0013076,PO-0016078,2025-10-09,100
GR-0013077,PO-0016081,2024-07-24,500
GR-0013078,PO-0016084,2024-03-18,1000
GR-0013079,PO-0016085,2025-05-31,50
GR-0013080,PO-0016086,2026-04-28,500
GR-0013081,PO-0016088,2024-11-27,200
GR-0013082,PO-0016089,2025-10-07,50
GR-0013083,PO-0016090,2025-11-02,100
GR-0013084,PO-0016091,2025-08-07,500
GR-0013085,PO-0016092,2025-10-31,1000
GR-0013086,PO-0016093,2026-03-10,50
GR-0013087,PO-0016094,2025-04-22,1000
GR-0013088,PO-0016095,2024-12-23,500
GR-0013089,PO-0016096,2025-03-15,1000
GR-0013090,PO-0016097,2024-09-15,50
GR-0013091,PO-0016103,2025-10-28,1000
GR-0013092,PO-0016104,2026-04-04,1000
GR-0013093,PO-0016105,2024-02-28,500
GR-0013094,PO-0016106,2025-05-08,100
GR-0013095,PO-0016107,2025-08-09,50
GR-0013096,PO-0016108,2025-01-29,746
GR-0013097,PO-0016109,2026-05-19,100
GR-0013098,PO-0016110,2026-05-08,50
GR-0013099,PO-0016111,2026-04-01,100
GR-0013100,PO-0016112,2026-05-03,100
GR-0013101,PO-0016113,2025-10-05,200
GR-0013102,PO-0016114,2024-06-18,100
GR-0013103,PO-0016115,2025-04-30,1000
GR-0013104,PO-0016117,2024-03-10,200
GR-0013105,PO-0016118,2025-04-10,50
GR-0013106,PO-0016119,2024-09-05,50
GR-0013107,PO-0016120,2024-04-26,100
GR-0013108,PO-0016121,2025-09-01,500
GR-0013109,PO-0016122,2024-03-20,50
GR-0013110,PO-0016123,2025-05-26,200
GR-0013111,PO-0016124,2024-05-22,200
GR-0013112,PO-0016125,2026-04-23,50
GR-0013113,PO-0016126,2024-08-17,50
GR-0013114,PO-0016127,2026-04-10,50
GR-0013115,PO-0016128,2025-01-05,100
GR-0013116,PO-0016129,2026-05-17,200
GR-0013117,PO-0016130,2026-02-11,89
GR-0013118,PO-0016131,2024-05-02,1000
GR-0013119,PO-0016132,2026-03-11,200
GR-0013120,PO-0016133,2026-04-04,500
GR-0013121,PO-0016134,2025-02-02,500
GR-0013122,PO-0016135,2026-03-20,50
GR-0013123,PO-0016136,2024-04-24,500
GR-0013124,PO-0016137,2025-09-22,1000
GR-0013125,PO-0016138,2025-01-02,500
GR-0013126,PO-0016139,2026-03-04,50
GR-0013127,PO-0016140,2024-10-27,50
GR-0013128,PO-0016141,2024-09-20,200
GR-0013129,PO-0016142,2025-07-10,50
GR-0013130,PO-0016143,2025-05-08,200
GR-0013131,PO-0016144,2026-01-01,200
GR-0013132,PO-0016146,2026-04-26,50
GR-0013133,PO-0016147,2024-09-10,500
GR-0013134,PO-0016148,2025-02-19,50
GR-0013135,PO-0016149,2025-07-14,100
GR-0013136,PO-0016150,2024-07-26,1000
GR-0013137,PO-0016151,2025-12-22,50
GR-0013138,PO-0016152,2024-07-26,50
GR-0013139,PO-0016153,2025-08-16,100
GR-0013140,PO-0016154,2026-02-01,50
GR-0013141,PO-0016155,2026-04-16,500
GR-0013142,PO-0016156,2024-04-22,200
GR-0013143,PO-0016157,2025-12-07,500
GR-0013144,PO-0016158,2026-01-24,500
GR-0013145,PO-0016159,2024-12-16,1000
GR-0013146,PO-0016160,2026-02-03,200
GR-0013147,PO-0016161,2024-05-22,50
GR-0013148,PO-0016162,2024-11-06,1000
GR-0013149,PO-0016163,2026-04-15,200
GR-0013150,PO-0016164,2024-05-07,200
GR-0013151,PO-0016165,2024-07-24,100
GR-0013152,PO-0016166,2024-06-10,100
GR-0013153,PO-0016167,2024-09-08,834
GR-0013154,PO-0016168,2024-04-21,200
GR-0013155,PO-0016169,2024-12-07,100
GR-0013156,PO-0016170,2025-10-10,948
GR-0013157,PO-0016171,2024-10-23,100
GR-0013158,PO-0016172,2024-09-18,50
GR-0013159,PO-0016174,2024-04-01,100
GR-0013160,PO-0016175,2024-08-28,500
GR-0013161,PO-0016176,2024-04-21,500
GR-0013162,PO-0016177,2025-04-19,100
GR-0013163,PO-0016178,2024-09-20,100
GR-0013164,PO-0016180,2025-01-12,200
GR-0013165,PO-0016181,2026-06-11,500
GR-0013166,PO-0016182,2025-08-18,50
GR-0013167,PO-0016183,2025-08-25,500
GR-0013168,PO-0016185,2024-05-27,100
GR-0013169,PO-0016186,2024-04-06,500
GR-0013170,PO-0016187,2025-09-12,500
GR-0013171,PO-0016188,2026-05-13,200
GR-0013172,PO-0016190,2024-01-29,1000
GR-0013173,PO-0016191,2025-07-27,1000
GR-0013174,PO-0016192,2024-10-30,1000
GR-0013175,PO-0016194,2025-10-29,50
GR-0013176,PO-0016195,2025-04-25,200
GR-0013177,PO-0016196,2026-02-17,500
GR-0013178,PO-0016197,2024-05-06,1000
GR-0013179,PO-0016199,2025-06-03,1000
GR-0013180,PO-0016200,2024-03-12,500
GR-0013181,PO-0016201,2024-12-02,100
GR-0013182,PO-0016202,2026-03-18,200
GR-0013183,PO-0016203,2024-03-19,500
GR-0013184,PO-0016204,2025-09-06,50
GR-0013185,PO-0016206,2026-02-11,200
GR-0013186,PO-0016207,2026-01-05,1000
GR-0013187,PO-0016209,2026-04-29,1000
GR-0013188,PO-0016212,2024-11-28,100
GR-0013189,PO-0016215,2024-07-01,1000
GR-0013190,PO-0016216,2024-11-21,50
GR-0013191,PO-0016217,2025-12-26,50
GR-0013192,PO-0016218,2025-02-26,200
GR-0013193,PO-0016219,2025-12-14,100
GR-0013194,PO-0016220,2026-04-01,405
GR-0013195,PO-0016222,2024-04-19,200
GR-0013196,PO-0016223,2025-11-26,500
GR-0013197,PO-0016224,2024-05-05,50
GR-0013198,PO-0016225,2025-02-14,100
GR-0013199,PO-0016226,2025-10-01,200
GR-0013200,PO-0016227,2025-04-15,200
GR-0013201,PO-0016228,2024-08-07,500
GR-0013202,PO-0016229,2026-02-16,100
GR-0013203,PO-0016230,2024-07-14,500
GR-0013204,PO-0016231,2024-09-22,50
GR-0013205,PO-0016232,2025-03-17,1000
GR-0013206,PO-0016233,2024-09-05,100
GR-0013207,PO-0016234,2024-04-02,50
GR-0013208,PO-0016235,2025-07-28,200
GR-0013209,PO-0016236,2025-10-06,50
GR-0013210,PO-0016237,2024-03-25,200
GR-0013211,PO-0016238,2026-01-20,500
GR-0013212,PO-0016241,2024-05-14,1000
GR-0013213,PO-0016242,2026-01-01,200
GR-0013214,PO-0016243,2025-07-09,50
GR-0013215,PO-0016244,2025-05-20,50
GR-0013216,PO-0016245,2026-03-15,500
GR-0013217,PO-0016246,2025-03-27,1000
GR-0013218,PO-0016247,2024-05-25,200
GR-0013219,PO-0016249,2025-02-08,50
GR-0013220,PO-0016250,2024-08-06,500
GR-0013221,PO-0016252,2024-08-16,1000
GR-0013222,PO-0016253,2024-12-31,500
GR-0013223,PO-0016254,2024-11-15,100
GR-0013224,PO-0016255,2025-05-25,200
GR-0013225,PO-0016256,2024-02-22,500
GR-0013226,PO-0016257,2026-02-14,1000
GR-0013227,PO-0016258,2024-12-25,200
GR-0013228,PO-0016259,2024-06-23,100
GR-0013229,PO-0016260,2026-06-20,100
GR-0013230,PO-0016261,2024-10-01,93
GR-0013231,PO-0016263,2025-05-25,44
GR-0013232,PO-0016265,2024-06-10,200
GR-0013233,PO-0016266,2025-02-07,100
GR-0013234,PO-0016268,2025-06-08,1000
GR-0013235,PO-0016269,2026-01-18,50
GR-0013236,PO-0016270,2025-05-21,50
GR-0013237,PO-0016271,2024-02-08,500
GR-0013238,PO-0016272,2024-04-11,500
GR-0013239,PO-0016273,2024-12-24,100
GR-0013240,PO-0016274,2024-07-08,500
GR-0013241,PO-0016275,2025-04-15,1000
GR-0013242,PO-0016276,2024-05-25,50
GR-0013243,PO-0016277,2024-04-20,100
GR-0013244,PO-0016278,2025-09-16,500
GR-0013245,PO-0016280,2025-10-05,100
GR-0013246,PO-0016281,2025-08-13,500
GR-0013247,PO-0016282,2025-10-09,200
GR-0013248,PO-0016283,2026-06-13,500
GR-0013249,PO-0016284,2024-05-08,500
GR-0013250,PO-0016285,2025-07-26,50
GR-0013251,PO-0016286,2025-10-02,100
GR-0013252,PO-0016287,2024-05-28,100
GR-0013253,PO-0016288,2024-07-17,200
GR-0013254,PO-0016289,2026-02-13,1000
GR-0013255,PO-0016291,2024-03-14,500
GR-0013256,PO-0016292,2025-12-28,500
GR-0013257,PO-0016294,2025-09-24,100
GR-0013258,PO-0016295,2025-11-26,1000
GR-0013259,PO-0016296,2026-01-27,1000
GR-0013260,PO-0016297,2025-12-17,100
GR-0013261,PO-0016298,2024-12-20,500
GR-0013262,PO-0016300,2025-12-03,50
GR-0013263,PO-0016301,2025-01-14,100
GR-0013264,PO-0016302,2024-05-22,200
GR-0013265,PO-0016304,2025-02-26,1000
GR-0013266,PO-0016307,2025-04-11,500
GR-0013267,PO-0016308,2025-06-03,84
GR-0013268,PO-0016309,2025-01-27,1000
GR-0013269,PO-0016310,2024-08-21,50
GR-0013270,PO-0016311,2025-08-08,200
GR-0013271,PO-0016312,2024-03-25,500
GR-0013272,PO-0016313,2024-02-25,1000
GR-0013273,PO-0016314,2025-10-15,50
GR-0013274,PO-0016315,2024-12-25,500
GR-0013275,PO-0016316,2025-07-07,1000
GR-0013276,PO-0016317,2026-04-25,500
GR-0013277,PO-0016319,2024-12-07,100
GR-0013278,PO-0016320,2024-08-16,468
GR-0013279,PO-0016321,2026-03-16,1000
GR-0013280,PO-0016322,2024-03-20,500
GR-0013281,PO-0016323,2024-03-30,500
GR-0013282,PO-0016324,2024-03-08,200
GR-0013283,PO-0016325,2024-03-05,100
GR-0013284,PO-0016326,2025-07-16,100
GR-0013285,PO-0016327,2024-09-04,500
GR-0013286,PO-0016328,2026-03-04,1000
GR-0013287,PO-0016329,2025-05-13,100
GR-0013288,PO-0016330,2024-06-07,100
GR-0013289,PO-0016332,2025-05-16,200
